                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 7.0968,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8929,                      0,                      0,                      0,                      0
                      2,                      0,                 7.0579,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8961,                      0,               1.34e-05,               1.34e-05,               1.34e-05
                      3,                      0,                 7.0458,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8996,                      0,               1.36e-05,               1.36e-05,               1.36e-05
